evals.q.250.	_.mt.100.3.ga.best.fitness	_.mt.100.3.ga.best.fitness.min	_.mt.100.3.ga.best.fitness.max	_.mt.100.3.ga.33.best.fitness	_.mt.100.3.ga.33.best.fitness.min	_.mt.100.3.ga.33.best.fitness.max	_.mt.100.3.me.2.best.fitness	_.mt.100.3.me.2.best.fitness.min	_.mt.100.3.me.2.best.fitness.max	_.mt.100.3.cabea.e.11.best.fitness	_.mt.100.3.cabea.e.11.best.fitness.min	_.mt.100.3.cabea.e.11.best.fitness.max	_.mt.100.3.cabea.cc.11.best.fitness	_.mt.100.3.cabea.cc.11.best.fitness.min	_.mt.100.3.cabea.cc.11.best.fitness.max	_.mt.100.3.cabea.e.21.best.fitness	_.mt.100.3.cabea.e.21.best.fitness.min	_.mt.100.3.cabea.e.21.best.fitness.max	_.mt.100.3.cabea.cc.21.best.fitness	_.mt.100.3.cabea.cc.21.best.fitness.min	_.mt.100.3.cabea.cc.21.best.fitness.max
1.650e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.300e-01	4.100e-01	4.500e-01	3.500e-01	3.200e-01	3.800e-01	2.000e-01	1.700e-01	2.200e-01	nan	nan	nan	6.100e-01	6.000e-01	6.300e-01
1.675e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.200e-01	4.100e-01	4.400e-01	3.400e-01	3.100e-01	3.700e-01	1.900e-01	1.700e-01	2.200e-01	6.500e-01	6.300e-01	6.600e-01	6.100e-01	5.900e-01	6.200e-01
1.700e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.200e-01	4.100e-01	4.400e-01	3.300e-01	3.000e-01	3.600e-01	1.800e-01	1.700e-01	2.100e-01	nan	nan	nan	6.000e-01	5.900e-01	6.200e-01
1.725e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.200e-01	4.000e-01	4.400e-01	3.300e-01	3.000e-01	3.500e-01	1.800e-01	1.600e-01	2.100e-01	6.500e-01	6.300e-01	6.500e-01	nan	nan	nan
1.750e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.100e-01	4.000e-01	4.400e-01	3.200e-01	3.000e-01	3.400e-01	1.700e-01	1.500e-01	1.900e-01	nan	nan	nan	6.000e-01	5.900e-01	6.100e-01
1.775e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.100e-01	3.900e-01	4.300e-01	3.200e-01	3.000e-01	3.400e-01	1.600e-01	1.500e-01	1.900e-01	6.400e-01	6.200e-01	6.500e-01	6.000e-01	5.900e-01	6.100e-01
1.800e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.100e-01	3.900e-01	4.300e-01	3.100e-01	2.900e-01	3.400e-01	1.600e-01	1.400e-01	1.800e-01	6.400e-01	6.200e-01	6.500e-01	5.900e-01	5.800e-01	6.000e-01
1.825e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.100e-01	3.900e-01	4.300e-01	3.100e-01	2.700e-01	3.300e-01	1.500e-01	1.300e-01	1.800e-01	nan	nan	nan	nan	nan	nan
1.850e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.000e-01	3.800e-01	4.200e-01	3.100e-01	2.700e-01	3.300e-01	1.500e-01	1.300e-01	1.800e-01	6.400e-01	6.200e-01	6.500e-01	5.900e-01	5.800e-01	6.000e-01
1.875e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.000e-01	3.800e-01	4.200e-01	3.000e-01	2.700e-01	3.200e-01	1.500e-01	1.300e-01	1.700e-01	nan	nan	nan	5.900e-01	5.700e-01	6.000e-01
